,x1,T,G
154,0.21875,1007.4,-0.5281635557394116
155,0.28125,1007.4,-0.402799554476896
156,0.25,1027.2,-0.5290174534098566
157,0.21875,1027.2,-0.5441896755522314
158,0.28125,1027.2,-0.41750390247280583
159,0.25,1046.9,-0.5448437994611404
160,0.21875,1046.9,-0.5602859366192189
161,0.28125,1046.9,-0.43230828783517056
162,0.25,1066.7,-0.5607810074355041
163,0.21875,1066.7,-0.5764939758737178
164,0.28125,1066.7,-0.4472427742941018
165,0.25,1086.4,-0.5767862858174079
166,0.21875,1086.4,-0.5927690367898991
167,0.28125,1086.4,-0.4622727881988109
168,0.25,1106.2,-0.5929011476312681
169,0.21875,1106.2,-0.6091545866654283
170,0.28125,1106.2,-0.477428992811559
171,0.25,1125.9,-0.6090823528361698
172,0.21875,1125.9,-0.6256053090182456
173,0.28125,1125.9,-0.4926765915705159
174,0.25,1145.7,-0.6253713044942157
175,0.21875,1145.7,-0.6421644492388972
176,0.28125,1145.7,-0.5080467874249397
177,0.25,1165.4,-0.6417255200032705
178,0.21875,1165.4,-0.6587869632027454
179,0.28125,1165.4,-0.5235045848017862
180,0.25,1185.2,-0.6581860684391914
181,0.21875,1185.2,-0.6755160663437267
182,0.28125,1185.2,-0.5390817078120909
183,0.25,1204.9,-0.6747101852924731
184,0.21875,1204.9,-0.6923068474751664
185,0.28125,1204.9,-0.5547429657707131
186,0.25,1224.7,-0.6913398822852446
187,0.21875,1224.7,-0.7092025332652979
188,0.28125,1224.7,-0.5705205274990266
189,0.25,1244.4,-0.7080318280529002
190,0.21875,1244.4,-0.7261583564123081
191,0.28125,1244.4,-0.5863790711373708
192,0.25,1264.2,-0.7248277535238329
193,0.21875,1264.2,-0.7432176343666846
194,0.28125,1264.2,-0.6023511649328657
195,0.25,1284.0,-0.7417059157720377
196,0.21875,1284.0,-0.7603575873476409
197,0.28125,1284.0,-0.6184185187789233
198,0.25,1303.7,-0.7586447324187039
199,0.21875,1303.7,-0.7775555424476135
200,0.28125,1303.7,-0.6345624762607619
201,0.25,1323.5,-0.7756859365143817
202,0.21875,1323.5,-0.7948548535827099
203,0.28125,1323.5,-0.6508163234958787
204,0.25,1343.2,-0.7927864026078223
205,0.21875,1343.2,-0.8122108278015473
206,0.28125,1343.2,-0.667144144913888
207,0.25,1363.0,-0.809988145700611
208,0.21875,1363.0,-0.8296668994738234
209,0.28125,1363.0,-0.6835796626724804
210,0.25,1382.7,-0.8272481314295833
211,0.21875,1382.7,-0.8471783752353619
212,0.28125,1382.7,-0.7000867334804667
213,0.25,1402.5,-0.8446081794604862
214,0.21875,1402.5,-0.8647887583834662
215,0.28125,1402.5,-0.7166994146079315
216,0.25,1422.2,-0.8620250776785532
217,0.21875,1422.2,-0.8824533033382016
218,0.28125,1422.2,-0.733381395133482
219,0.25,1442.0,-0.8795412214593599
220,0.21875,1442.0,-0.9002156315616535
221,0.28125,1442.0,-0.7501670928700218
222,0.25,1461.7,-0.8971132049126729
223,0.21875,1461.7,-0.9180308968450821
224,0.28125,1461.7,-0.7670199327327535
225,0.25,1481.5,-0.914783018395146
226,0.21875,1481.5,-0.9359429177220346
227,0.28125,1481.5,-0.7839747509769056
228,0.25,1501.2,-0.9325072987889668
229,0.21875,1501.2,-0.9539066694007154
230,0.28125,1501.2,-0.8009947053445752
231,0.25,1521.0,-0.9503286488762326
232,0.21875,1521.0,-0.9719661520428822
233,0.28125,1521.0,-0.8181149844223637
234,0.25,1540.7,-0.9682034872040648
235,0.21875,1540.7,-0.9900762113410464
236,0.28125,1540.7,-0.8352985382038707
237,0.25,1560.5,-0.9861740445876492
238,0.21875,1560.5,-1.0082809499014669
239,0.28125,1560.5,-0.8525809048393655
240,0.25,1580.2,-1.0041967622656216
241,0.21875,1580.2,-1.0265351657692667
242,0.28125,1580.2,-0.8699246984977881
243,0.25,1600.0,-1.0223142628801634
244,0.21875,1600.0,-1.0448831089639863
245,0.28125,1600.0,-0.8873658985486337
